Customer ID,Predicted CLV (BG–NBD),Predicted CLV (Pareto–NBD),Predicted CLV (MBG–NBD),frequency,recency,T,monetary_value
17337,45928.44405276211,38514.85171003614,47924.53100691158,1.0,1.0,17.0,25043.54
15311,27951.935896764004,23274.30116480679,23966.75095854821,23.0,351.0,363.0,3130.5447826086956
14606,21001.424220177927,17003.544726098415,18001.179474700286,26.0,349.0,349.0,1983.3715384615386
14911,18357.760679222625,15083.32629325962,15676.152082015296,25.0,344.0,354.0,1849.7176000000002
17841,18109.42243951429,15343.327647678643,15515.32862390661,19.0,337.0,354.0,2426.616842105263
15039,11908.064902299293,11365.462600783,10590.21718730466,7.0,275.0,301.0,3806.162857142857
14044,11885.43422511645,9800.73169419022,12230.13249090735,1.0,1.0,15.0,6250.26
16110,11291.952971922838,9924.91997864309,12254.662249185907,1.0,1.0,23.0,6821.54
13089,11286.815142177751,9461.095282973798,9529.268372062912,19.0,304.0,324.0,1428.2494736842104
15194,10460.343498333074,10289.588346408924,9397.854752214565,6.0,261.0,290.0,3799.0166666666664
13113,10266.239903760748,10179.053134519194,9456.016146124224,5.0,264.0,271.0,4059.9479999999994
12539,9756.12142723818,10667.420702916339,8921.181882358898,3.0,88.0,141.0,4930.7266666666665
14541,9323.17477561155,13884.280893682198,11619.110305218532,1.0,29.0,76.0,9101.32
15719,9307.629666896251,11346.023973214134,9580.615382110427,2.0,144.0,157.0,6064.545
13148,8913.502295445844,9545.892886123645,8273.695983322348,4.0,210.0,246.0,4319.5525
13174,8665.788621211123,10807.56241110494,8704.889450731062,3.0,256.0,304.0,6496.88
14180,7974.374948465215,7352.522922383716,7099.277566736422,9.0,327.0,342.0,2152.0966666666664
15549,7701.4506505894005,6576.311006045845,7229.714513944806,2.0,9.0,48.0,3664.66
17811,7644.605011550812,6975.034532893531,6582.601811485093,4.0,119.0,139.0,2490.4725
14298,7218.282569065229,6540.241811158757,6116.519531747805,7.0,187.0,219.0,1900.3314285714284
14667,6916.306900617538,9069.206828570228,5890.914559786111,6.0,183.0,293.0,4087.7599999999998
17611,6714.369447372209,8555.492518469815,6403.131276723862,3.0,145.0,228.0,4849.263333333333
14462,6699.354798462555,11934.931599956059,8962.974917156034,1.0,161.0,167.0,8138.96
12744,6649.36954490176,7408.592067759261,8843.610446224351,1.0,1.0,69.0,7951.549999999999
16771,6518.777092400567,11640.917492418204,8681.77564111924,1.0,142.0,160.0,7920.84
12731,6279.652710535916,12709.558480850683,8864.749585313792,1.0,217.0,251.0,10560.85
17975,6247.8414661469105,7421.549435636544,6270.687959428427,3.0,258.0,277.0,4152.9366666666665
17511,6228.450465731402,5741.502606097112,5521.543806538103,10.0,341.0,362.0,1600.402
18125,6199.913762005707,6370.81906947346,7685.250343586232,1.0,1.0,49.0,5621.8
15808,6173.0665347784525,6000.63730452893,5677.845668586258,6.0,311.0,312.0,2258.5433333333335
13584,6135.157231934795,4505.679702178512,5746.200564758981,1.0,1.0,3.0,2576.27
17507,6055.919680769795,4863.535815009814,6097.186924077966,1.0,1.0,12.0,3013.59
15058,6024.765093633812,5524.528149254708,6776.062841363989,1.0,1.0,29.0,4016.72
12501,6000.890842953773,7554.572902425077,6134.020357448828,2.0,110.0,151.0,4174.065
14527,5881.295792383396,5501.981707827289,5174.465822504694,10.0,331.0,363.0,1549.6299999999999
14049,5656.56796152532,6192.231905883333,7407.713069587478,1.0,1.0,64.0,6327.2
14796,5633.516189669313,6704.029816915209,5181.550585054197,4.0,199.0,279.0,3433.5874999999996
12471,5628.802147348185,5114.887083486778,4981.878263914741,10.0,332.0,347.0,1385.8399999999997
16923,5494.704290098525,5892.494381315423,5081.385821586229,4.0,203.0,242.0,2656.05
13869,5462.952460771272,10324.033249518125,7430.752734217452,1.0,152.0,186.0,7567.21
12681,5450.694507607866,5339.8912407000225,4890.763696384722,6.0,258.0,286.0,1955.3083333333332
18118,5212.861868869835,6665.577871637542,4781.536732192299,4.0,213.0,319.0,3805.6875
14040,5178.920888849226,6251.711624656116,5191.407556194934,2.0,90.0,129.0,3304.4700000000003
16161,5006.9445150008105,4918.069439380873,4543.420918622146,6.0,281.0,302.0,1841.256666666667
13230,5004.683367986261,6864.30222836929,5507.517639939877,2.0,243.0,254.0,4480.005
14085,4997.4664223522195,5083.326749929854,4647.155522437996,5.0,284.0,297.0,2134.022
15601,4790.114089913576,5543.5466320436235,4626.131076585402,4.0,300.0,347.0,3008.3725000000004
12377,4761.222174414434,8979.870707590573,6446.982052460303,1.0,139.0,179.0,6545.83
17894,4706.82283127485,4780.188736363232,4279.044695147029,5.0,237.0,268.0,1932.8080000000002
13911,4575.897177020658,3433.2620425992077,4359.387983707892,1.0,1.0,5.0,1995.6599999999999
14415,4542.4083247058,6936.818595369479,4782.547454735535,2.0,112.0,216.0,4994.17
16725,4455.865175866847,4902.875729466017,4344.8041257768755,4.0,320.0,325.0,2494.4775
12682,4448.2905027545,4650.864904190912,4177.901237074021,5.0,309.0,329.0,2073.182
18245,4417.501079623881,5724.419022843895,4623.512875251436,2.0,147.0,180.0,3296.875
13093,4403.219632100698,4453.1399001377395,4080.338019156277,6.0,334.0,353.0,1814.4183333333333
12472,4301.421479345063,6598.3727987874445,4863.40671752856,2.0,292.0,354.0,5314.25
15005,4293.19138907974,4294.82616733798,3931.144887808678,5.0,251.0,269.0,1719.2800000000002
15498,4268.2352314997215,4725.409725941401,3691.71828681557,6.0,207.0,285.0,1876.2366666666667
16782,4192.631017097276,4318.824944928177,3696.5288697690066,6.0,233.0,288.0,1640.721666666667
15358,4147.058795078733,4181.701360122021,3768.547808610154,5.0,236.0,264.0,1673.3700000000001
13280,4127.6033157852935,5252.771882840753,4222.958938402485,2.0,106.0,152.0,2939.575
17180,4115.885033198704,4167.480190967134,5037.608070720063,1.0,1.0,46.0,3569.08
13983,4039.5488902280854,6363.12205679392,4346.1198423290125,2.0,169.0,278.0,4919.545
12836,4005.3339548234644,3597.749282512969,4426.97940842973,1.0,1.0,26.0,2539.49
12625,3993.507081073883,4018.822089478004,3717.3244210095922,2.0,63.0,78.0,1808.4399999999998
14587,3951.3164600913165,6728.929078285243,5122.0876261066605,1.0,106.0,130.0,4325.96
13050,3939.5551190560504,3518.8080724949564,3467.7656460750636,8.0,275.0,279.0,1004.88
15547,3909.149026135279,4614.172909414634,3811.1390291243856,3.0,195.0,237.0,2451.77
13488,3825.821179175807,4110.703280547133,3661.3661853854924,4.0,274.0,285.0,1954.37
15867,3795.122507336468,4123.6369734948885,3456.6774448912392,5.0,250.0,308.0,1841.3220000000001
12826,3770.241795881934,5411.0578470303,4110.382475093879,2.0,203.0,256.0,3683.7299999999996
17673,3766.5761202700783,4363.082450904252,5185.185156308518,1.0,1.0,82.0,5315.32
15570,3744.088387627615,5129.558604139792,3177.9604542297725,6.0,193.0,314.0,2459.9666666666667
12626,3742.738898287392,3307.801704350088,3137.2807168541813,4.0,88.0,115.0,1140.8899999999999
13081,3723.222767143919,4937.812357521335,3241.960939403207,5.0,203.0,325.0,2629.114
14646,3718.930940576808,7127.12999040794,3748.8977164830035,8.0,89.0,179.0,2604.71125
12854,3710.547380764339,4491.2019175637215,4917.437504153541,1.0,3.0,71.0,4428.15
16745,3648.014007056203,3867.4217466327623,3780.446560333312,1.0,24.0,25.0,1918.12
17314,3639.261153363577,3902.009501107868,4112.922839629125,1.0,7.0,34.0,2471.4
12841,3632.356071237556,4116.125713407748,3512.1352389917124,4.0,299.0,333.0,2160.985
12668,3587.9396669467774,6739.338406232278,4872.991058570874,1.0,153.0,184.0,4898.55
14156,3572.2241815820134,3728.7340348704633,3374.178682878867,5.0,323.0,336.0,1674.4479999999999
17315,3560.1550733553195,2969.7960418946213,2995.734456090822,7.0,183.0,188.0,782.8171428571428
12683,3559.049763878356,4381.544296364131,3227.440786077591,4.0,171.0,263.0,2267.08
12567,3554.225970921533,5126.327018801562,4025.7370122189864,2.0,310.0,320.0,3770.99
15708,3486.9085919622476,4345.04510930631,3548.122177393111,3.0,288.0,324.0,2671.13
12578,3467.508433799116,3928.409303302639,3217.5632640369113,3.0,108.0,164.0,1890.9000000000003
13798,3403.3182223083477,3798.894373909269,2995.485525737825,6.0,254.0,335.0,1619.18
15464,3403.0071469629925,4304.273799858766,5113.3551799895,1.0,1.0,160.0,11025.71
16456,3396.2585738533476,7214.008140220449,4996.104942319047,1.0,351.0,354.0,7044.139999999999
13267,3341.132328771307,4987.278021990818,2909.855571163685,5.0,149.0,279.0,2758.5559999999996
16770,3308.08233224047,4925.764979239211,3748.04621758278,2.0,301.0,338.0,3795.7799999999997
17796,3252.8760957527325,4047.0112534626605,3299.773071882981,3.0,280.0,318.0,2466.87
17890,3252.658358070999,4846.8988984470225,3452.6011412594953,2.0,137.0,227.0,3373.06
13468,3226.9315887011694,3263.516020845043,2990.3054461791676,6.0,334.0,353.0,1329.3866666666665
17580,3215.460853136758,6117.2616636207085,4396.724997233601,1.0,163.0,194.0,4536.09
14733,3207.8068720950323,3326.615697782533,2819.085935362336,6.0,228.0,286.0,1265.9116666666666
17220,3197.729779851071,4440.8914207059925,3484.2047152415853,2.0,211.0,244.0,2894.5299999999997
13102,3156.5814215449423,2852.610035947648,2778.454329508753,7.0,251.0,258.0,869.2128571428572
17799,3079.1635581854143,3874.0425380421075,2943.5928086086624,3.0,151.0,229.0,2168.3166666666666
16684,3067.4865194653635,3330.1481944356556,2935.0333436714495,3.0,179.0,193.0,1571.4966666666667
14146,3015.6434975873062,5774.259569972545,4103.398029863952,1.0,141.0,186.0,4295.37
15529,3008.6609386697137,4001.2478217123457,2911.321999135977,3.0,181.0,276.0,2477.1966666666667
14534,3003.3492748334675,2757.237479206308,3298.220105357778,2.0,3.0,72.0,2406.94
18283,2949.8938127365464,5684.553893261674,3957.9960674892473,1.0,73.0,155.0,4441.57
18055,2936.4356407158934,3282.651337943626,2838.4375444832785,4.0,297.0,323.0,1684.84
17920,2865.2577485964025,3654.847698064103,2949.5545803507935,3.0,321.0,361.0,2391.2599999999998
15159,2849.7286902122305,3935.5063116303318,3065.036461000052,2.0,182.0,225.0,2503.21
17961,2840.533332968005,2839.147434200051,2615.381506166059,6.0,316.0,334.0,1119.9683333333332
16931,2829.7742935505685,3740.6661562190966,2807.796164954355,3.0,236.0,321.0,2412.4333333333334
17238,2788.1725267998013,4342.470093065962,3090.959905334913,2.0,239.0,327.0,3450.315
14702,2775.277633873014,3334.9296271881517,2727.2062772547074,3.0,209.0,254.0,1832.89
16814,2751.3531232675546,2718.873096955845,2523.203367222479,6.0,305.0,320.0,1045.2983333333334
15296,2750.5272884383717,3381.7737595155936,4000.042140847379,1.0,1.0,113.0,5565.18
13069,2717.080176031114,2979.566440815542,2648.0936922263204,4.0,319.0,322.0,1505.8574999999998
14688,2712.3894002434376,2923.296553579235,2564.991765519963,5.0,332.0,364.0,1390.0
15687,2691.417915750604,4525.163062055235,3466.9471162828436,1.0,100.0,124.0,2870.14
12474,2677.687419421809,2910.9555019837403,2426.821493879785,5.0,240.0,300.0,1286.9879999999998
17231,2632.1200854112476,3486.724679756736,2499.9880080572225,3.0,133.0,229.0,2059.516666666667
17230,2534.7940450491064,2822.7556163008753,2449.1770748744552,3.0,190.0,209.0,1383.6233333333332
14440,2518.9512571834725,5244.667414164854,3566.0095079090465,1.0,206.0,261.0,4524.08
17604,2483.6587658403173,2292.6338861276604,2809.1402548516626,1.0,1.0,30.0,1678.69
17372,2473.831304732319,3000.746710887087,2398.084435888669,3.0,181.0,239.0,1636.5133333333333
12720,2465.9820524285924,3590.6597754405298,2762.2576299017855,2.0,271.0,305.0,2612.085
12481,2460.6210350727615,3963.6271343381604,2323.2734426648017,3.0,113.0,264.0,3088.183333333333
15079,2440.3258288686693,5025.118075994253,3463.9664139351826,1.0,223.0,264.0,4297.98
13408,2434.891533618667,2276.825130812577,2141.4810862917097,10.0,330.0,362.0,639.842
15235,2425.3644072626644,2549.1723278399986,2302.5053368939575,5.0,337.0,349.0,1168.698
15061,2408.815154387399,2458.768573955505,2053.672583246587,9.0,274.0,339.0,760.8444444444444
16395,2393.205713611409,4314.935410054409,3243.799733128792,1.0,29.0,125.0,3839.99
17404,2370.6365558188804,2507.4995466414825,2152.2523553921424,4.0,171.0,215.0,1083.1025
17884,2322.4544665497756,2881.7636366517486,2378.8205069087776,3.0,306.0,332.0,1782.0533333333333
14978,2318.0732906109024,2570.8796058471917,2122.4144268457326,3.0,65.0,126.0,1214.9366666666667
17735,2302.4201596530384,4911.208024665502,3290.5854821755543,1.0,224.0,286.0,4450.76
16779,2271.731174343642,2194.916330682812,2039.6640318359464,6.0,258.0,279.0,788.0816666666666
15640,2262.6628542985736,3168.424658241495,1955.4472854222581,5.0,203.0,339.0,1799.83
17591,2251.028081631383,2806.956213428717,2229.157214138576,3.0,224.0,282.0,1643.5366666666669
15881,2244.3248044354905,2616.698242839864,2210.3256718085404,3.0,218.0,245.0,1387.1466666666668
17787,2236.133002224861,3515.9103426174534,2473.7142571855416,2.0,235.0,330.0,2830.695
14426,2233.0353881618726,2993.330303561845,2380.725402304313,2.0,173.0,207.0,1818.8000000000002
18041,2231.9122951803756,2352.9267116052947,2111.3080019267095,5.0,328.0,346.0,1076.9060000000002
13004,2209.9534729055413,2979.4330090154976,2322.1741899188587,2.0,139.0,190.0,1799.2150000000001
17019,2209.3915361814275,3596.8008988000975,2370.5257710614706,2.0,169.0,295.0,2947.41
18077,2166.93934673216,2535.851369682941,2002.338883416788,4.0,206.0,279.0,1279.6825000000001
14713,2165.3045946048096,3283.3349284799738,2324.5774972448835,2.0,162.0,254.0,2372.83
16713,2146.29500873339,3886.4593465516546,2231.3789486605456,2.0,100.0,277.0,3978.835
13668,2124.01604213487,2868.9878383682576,2315.877899788253,2.0,225.0,237.0,1810.53
17675,2111.7566152042295,2302.642724250289,2006.8724990796986,4.0,257.0,284.0,1104.845
13694,2072.477802953549,2019.1762738724674,1901.4841968159797,7.0,349.0,360.0,738.1999999999999
13777,2062.036348421186,1916.5359787472114,1838.5893797893805,9.0,333.0,351.0,569.8433333333334
16033,2046.4746694692885,2818.9012181362177,2002.3312603140178,3.0,216.0,324.0,1899.7333333333336
14680,2025.370804693115,2193.2786359556562,1798.213257575376,6.0,262.0,332.0,911.61
17239,2024.9489071557819,3749.40150202519,2725.1105319715252,1.0,137.0,171.0,2662.4700000000003
16327,2024.9069092945701,2993.820800063947,2270.817847196628,2.0,271.0,315.0,2231.475
15351,2021.2796596088547,2514.4066023709634,2785.760322088255,1.0,3.0,323.0,20691.84
17576,1997.8293239153795,2572.9729926308314,1798.1641681708797,4.0,152.0,255.0,1372.0625
17757,1983.989080484807,2054.643393280439,1796.0848981002498,6.0,288.0,335.0,831.3783333333334
13198,1982.9122084438204,2855.706150568407,2126.553270747427,2.0,165.0,233.0,1910.35
17062,1963.1023258336409,2218.792170363131,1883.3056153945204,4.0,280.0,319.0,1142.0775
17965,1949.8994564477034,2415.547214823088,1963.6983969451856,3.0,262.0,304.0,1442.1599999999999
17690,1945.4277751645764,2703.4535673123637,1919.5635437571593,3.0,240.0,351.0,1890.9800000000002
12476,1926.3344276596742,3809.246969458499,2686.3844202937303,1.0,194.0,227.0,3017.34
12433,1924.606993260374,3933.4913543015628,1907.5863300419403,2.0,91.0,356.0,6783.995
12437,1916.7685578535086,2228.452111341493,1917.2666910728042,2.0,112.0,129.0,1122.3999999999999
17068,1911.0617335987015,2107.210749589304,1818.6075503522327,4.0,260.0,292.0,1029.6625
14502,1896.5286943973344,1400.430844881831,1692.12380743382,2.0,5.0,35.0,758.975
17097,1890.4386222938892,2531.584879671721,1811.1008913940884,3.0,158.0,257.0,1549.4366666666665
17863,1882.5829004190834,3940.5930071007383,2727.4409219400436,1.0,291.0,311.0,3605.6
17375,1869.2562500540334,3674.143257244653,2605.685819055774,1.0,198.0,226.0,2890.42
14233,1828.1513006006446,2492.4040912640667,2146.5059918782463,1.0,41.0,61.0,1391.2199999999998
15023,1817.948327575638,2871.6573499770752,1986.6563286533221,2.0,206.0,310.0,2282.14
17517,1803.53610815633,1421.9304713012093,1788.5449582408392,1.0,1.0,10.0,860.03
13963,1791.7382826453318,2119.8395814121873,1814.1281398714284,3.0,282.0,287.0,1195.5933333333332
15179,1784.2788397740455,2619.7954875051896,1917.8249428856668,2.0,167.0,243.0,1805.175
13534,1777.7171571979616,1759.902960304658,1534.4470433352574,5.0,147.0,194.0,637.676
14800,1766.4130123893729,2657.5106060938915,1678.4614823714257,3.0,176.0,321.0,1979.8
16011,1758.4542768749654,2459.300225853059,1941.3067637383542,2.0,243.0,265.0,1649.67
17722,1743.6992940089408,1866.1456227205513,1563.4939492423844,5.0,216.0,274.0,789.0419999999999
15696,1738.710858413331,1607.663042857688,1467.1387725986328,4.0,74.0,114.0,577.965
14735,1738.572432020348,2248.4371031586925,1843.1426396674387,2.0,177.0,194.0,1304.6799999999998
16241,1733.8820567074276,3026.030102840122,1829.6872932380545,2.0,157.0,322.0,2841.05
17954,1729.3557466444745,2803.928346026194,1887.3445461303154,2.0,209.0,328.0,2339.595
17340,1727.6790316387257,3083.599339009823,1645.1189413440875,3.0,95.0,268.0,2857.816666666667
12916,1726.6862055764834,2025.3625677706536,2403.909395202182,1.0,1.0,87.0,2587.0699999999997
17284,1724.2588883421067,2177.4630559810885,2581.5705241289006,1.0,1.0,149.0,5035.46
12431,1718.452842199175,1989.3720265220284,1674.7803591215718,4.0,323.0,363.0,1099.63
14189,1696.1179131976603,2542.633826827729,1877.395420282126,2.0,234.0,300.0,1887.915
12735,1680.6635658356324,3064.655728885985,2236.0102740515504,1.0,114.0,155.0,2132.37
17406,1669.8144460899696,2407.276297829058,1588.3529538630307,3.0,153.0,278.0,1633.0933333333332
15044,1661.6989404739452,2601.1885307486627,1582.5043258344303,3.0,98.0,235.0,1901.8966666666665
15218,1649.6820944740166,1862.088546762966,2219.3431615631507,1.0,1.0,73.0,2072.98
12868,1649.1901504161108,2503.5868538630734,1873.529149370777,2.0,307.0,356.0,2000.1599999999999
17389,1638.3219368866673,1428.2107683942472,1360.0969737789883,6.0,137.0,165.0,414.385
14849,1636.107555930475,1929.0548767517362,1578.0142299134332,4.0,302.0,360.0,1077.435
16497,1631.5716267884952,2987.537349933118,2157.1026816695553,1.0,73.0,138.0,2156.45
12971,1629.9559937326308,1400.8680200550111,1411.0932153789945,14.0,324.0,336.0,279.82214285714286
12540,1624.0324005299615,1859.6004680118804,1591.8887563052242,3.0,212.0,233.0,957.2333333333332
17392,1623.8064005484036,2991.2655928490835,2214.4734571559197,1.0,189.0,192.0,2144.55
16553,1609.107584809009,3745.603295906128,2169.074569905446,1.0,56.0,270.0,5824.099999999999
